iteration	evaluations	runtime[s]	Porción_Colocados-MAX[MAX]
1	25	5.865	0.002400000113993883
2	50	11.766	0.0026000000070780516
3	75	17.549	0.0026000000070780516
4	100	23.336	0.003800000064074993
5	125	23.366	0.003800000064074993
6	150	23.4	0.003800000064074993
7	175	23.43	0.003800000064074993
8	200	23.462	0.003800000064074993
9	225	23.493	0.003800000064074993
10	250	23.513	0.003800000064074993
11	275	23.532	0.003800000064074993
12	300	23.55	0.003800000064074993
13	325	23.56	0.003800000064074993
14	350	23.572	0.003800000064074993
15	375	23.586	0.003800000064074993
16	400	23.597	0.003800000064074993
17	425	23.609	0.003800000064074993
18	450	23.62	0.003800000064074993
19	475	23.632	0.003800000064074993
20	500	23.642	0.003800000064074993
21	525	23.653	0.003800000064074993
22	550	23.666	0.003800000064074993
23	575	23.676	0.003800000064074993
24	600	23.687	0.003800000064074993
25	625	23.716	0.003800000064074993
26	650	23.728	0.003800000064074993
27	675	23.738	0.003800000064074993
28	700	23.747	0.003800000064074993
29	725	23.761	0.003800000064074993
30	750	23.773	0.003800000064074993
31	775	23.782	0.003800000064074993
32	800	23.792	0.003800000064074993
33	825	23.802	0.003800000064074993
34	850	23.812	0.003800000064074993
35	875	23.821	0.003800000064074993
36	900	23.83	0.003800000064074993
37	925	23.84	0.003800000064074993
38	950	23.849	0.003800000064074993
39	975	23.858	0.003800000064074993
40	1000	23.868	0.003800000064074993
41	1025	23.88	0.003800000064074993
42	1050	23.892	0.003800000064074993
43	1075	23.903	0.003800000064074993
44	1100	23.916	0.003800000064074993
45	1125	23.927	0.003800000064074993
46	1150	23.936	0.003800000064074993
47	1175	23.946	0.003800000064074993
48	1200	23.956	0.003800000064074993
49	1225	23.991	0.003800000064074993
50	1250	24.0	0.003800000064074993
51	1275	24.01	0.003800000064074993
52	1300	24.023	0.003800000064074993
53	1325	24.03	0.003800000064074993
54	1350	24.041	0.003800000064074993
55	1375	24.049	0.003800000064074993
56	1400	24.057	0.003800000064074993
57	1425	24.066	0.003800000064074993
58	1450	24.074	0.003800000064074993
59	1475	24.083	0.003800000064074993
60	1500	24.092	0.003800000064074993
61	1525	24.1	0.003800000064074993
62	1550	24.109	0.003800000064074993
63	1575	24.117	0.003800000064074993
64	1600	24.126	0.003800000064074993
65	1625	24.134	0.003800000064074993
66	1650	24.143	0.00419999985024333
67	1675	24.151	0.00419999985024333
68	1700	24.16	0.00419999985024333
69	1725	24.169	0.00419999985024333
70	1750	24.177	0.00419999985024333
71	1775	24.185	0.00419999985024333
72	1800	24.194	0.00419999985024333
73	1825	24.216	0.00419999985024333
74	1850	24.224	0.00419999985024333
75	1875	24.233	0.00419999985024333
76	1900	24.244	0.00419999985024333
77	1925	24.253	0.00419999985024333
78	1950	24.261	0.00419999985024333
79	1975	24.27	0.00419999985024333
80	2000	24.279	0.00419999985024333
81	2025	24.288	0.00419999985024333
82	2050	24.296	0.00419999985024333
83	2075	24.305	0.00419999985024333
84	2100	24.313	0.00419999985024333
85	2125	24.323	0.00419999985024333
86	2150	24.331	0.00419999985024333
87	2175	24.34	0.00419999985024333
88	2200	24.348	0.00419999985024333
89	2225	24.357	0.00419999985024333
90	2250	24.365	0.00419999985024333
91	2275	24.373	0.00419999985024333
92	2300	24.381	0.00419999985024333
93	2325	24.388	0.00419999985024333
94	2350	24.397	0.00419999985024333
95	2375	24.405	0.00419999985024333
96	2400	24.414	0.00419999985024333
97	2425	24.434	0.00419999985024333
98	2450	24.443	0.00419999985024333
99	2475	24.452	0.00419999985024333
100	2500	24.46	0.00419999985024333
101	2525	24.468	0.00419999985024333
102	2550	24.476	0.00419999985024333
103	2575	24.484	0.00419999985024333
104	2600	24.494	0.00419999985024333
105	2625	24.503	0.00419999985024333
106	2650	24.511	0.00419999985024333
107	2675	24.52	0.00419999985024333
108	2700	24.528	0.00419999985024333
109	2725	24.537	0.00419999985024333
110	2750	24.545	0.00419999985024333
111	2775	24.554	0.00419999985024333
112	2800	24.563	0.00419999985024333
113	2825	24.575	0.00419999985024333
114	2850	24.583	0.00419999985024333
115	2875	24.592	0.00419999985024333
116	2900	24.602	0.00419999985024333
117	2925	24.61	0.00419999985024333
118	2950	24.619	0.00419999985024333
119	2975	24.629	0.00419999985024333
120	3000	24.637	0.00419999985024333
121	3025	24.646	0.00419999985024333
122	3050	24.668	0.00419999985024333
123	3075	24.678	0.00419999985024333
124	3100	24.69	0.00419999985024333
125	3125	24.702	0.00419999985024333
126	3150	24.714	0.00419999985024333
127	3175	24.727	0.00419999985024333
128	3200	24.738	0.00419999985024333
129	3225	24.749	0.00419999985024333
130	3250	24.761	0.00419999985024333
131	3275	24.773	0.00419999985024333
132	3300	24.787	0.00419999985024333
133	3325	24.798	0.00419999985024333
134	3350	24.812	0.00419999985024333
135	3375	24.823	0.00419999985024333
136	3400	24.836	0.00419999985024333
137	3425	24.848	0.00419999985024333
138	3450	24.859	0.00419999985024333
139	3475	24.87	0.00419999985024333
140	3500	24.883	0.00419999985024333
141	3525	24.895	0.00419999985024333
142	3550	24.907	0.00419999985024333
143	3575	24.918	0.00419999985024333
144	3600	24.93	0.00419999985024333
145	3625	24.938	0.00419999985024333
146	3650	24.946	0.00419999985024333
147	3675	24.955	0.00419999985024333
148	3700	24.964	0.00419999985024333
149	3725	24.973	0.00419999985024333
150	3750	24.982	0.00419999985024333
151	3775	24.99	0.00419999985024333
152	3800	24.999	0.00419999985024333
153	3825	25.008	0.00419999985024333
154	3850	25.016	0.00419999985024333
155	3875	25.025	0.00419999985024333
156	3900	25.033	0.00419999985024333
157	3925	25.041	0.00419999985024333
158	3950	25.051	0.00419999985024333
159	3975	25.058	0.00419999985024333
160	4000	25.079	0.00419999985024333
161	4025	25.087	0.00419999985024333
162	4050	25.096	0.00419999985024333
163	4075	25.105	0.00419999985024333
164	4100	25.113	0.00419999985024333
165	4125	25.121	0.00419999985024333
166	4150	25.13	0.00419999985024333
167	4175	25.139	0.00419999985024333
168	4200	25.148	0.00419999985024333
169	4225	25.157	0.00419999985024333
170	4250	25.166	0.00419999985024333
171	4275	25.175	0.00419999985024333
172	4300	25.183	0.00419999985024333
173	4325	25.19	0.00419999985024333
174	4350	25.199	0.00419999985024333
175	4375	25.208	0.00419999985024333
176	4400	25.217	0.00419999985024333
177	4425	25.227	0.00419999985024333
178	4450	25.235	0.00419999985024333
179	4475	25.244	0.00419999985024333
180	4500	25.252	0.00419999985024333
181	4525	25.261	0.00419999985024333
182	4550	25.269	0.00419999985024333
183	4575	25.285	0.00419999985024333
184	4600	25.294	0.00419999985024333
185	4625	25.303	0.00419999985024333
186	4650	25.311	0.00419999985024333
187	4675	25.319	0.00419999985024333
188	4700	25.328	0.00419999985024333
189	4725	25.337	0.00419999985024333
190	4750	25.346	0.00419999985024333
191	4775	25.354	0.00419999985024333
192	4800	25.363	0.00419999985024333
193	4825	25.373	0.00419999985024333
194	4850	25.381	0.00419999985024333
195	4875	25.39	0.00419999985024333
196	4900	25.399	0.00419999985024333
197	4925	25.421	0.00419999985024333
198	4950	25.43	0.00419999985024333
199	4975	25.439	0.00419999985024333
200	5000	25.45	0.00419999985024333
201	5025	25.458	0.00419999985024333
202	5050	25.469	0.00419999985024333
203	5075	25.477	0.00419999985024333
204	5100	25.487	0.00419999985024333
205	5125	25.495	0.00419999985024333
206	5150	25.504	0.00419999985024333
207	5175	25.512	0.00419999985024333
208	5200	25.525	0.00419999985024333
209	5225	25.534	0.00419999985024333
210	5250	25.542	0.00419999985024333
211	5275	25.549	0.00419999985024333
212	5300	25.559	0.00419999985024333
213	5325	25.568	0.00419999985024333
214	5350	25.577	0.00419999985024333
215	5375	25.585	0.00419999985024333
216	5400	25.594	0.00419999985024333
217	5425	25.604	0.00419999985024333
218	5450	25.613	0.00419999985024333
219	5475	25.622	0.00419999985024333
220	5500	25.63	0.00419999985024333
221	5525	25.639	0.00419999985024333
222	5550	25.649	0.00419999985024333
223	5575	25.659	0.00419999985024333
224	5600	25.668	0.00419999985024333
225	5625	25.677	0.00419999985024333
226	5650	25.685	0.00419999985024333
227	5675	25.695	0.00419999985024333
228	5700	25.705	0.00419999985024333
229	5725	25.713	0.00419999985024333
230	5750	25.722	0.00419999985024333
231	5775	25.733	0.00419999985024333
232	5800	25.744	0.00419999985024333
233	5825	25.754	0.00419999985024333
234	5850	25.763	0.00419999985024333
235	5875	25.773	0.00419999985024333
236	5900	25.793	0.00419999985024333
237	5925	25.801	0.00419999985024333
238	5950	25.809	0.00419999985024333
239	5975	25.817	0.00419999985024333
240	6000	25.827	0.00419999985024333
241	6025	25.835	0.00419999985024333
242	6050	25.844	0.00419999985024333
243	6075	25.856	0.00419999985024333
244	6100	25.863	0.00419999985024333
245	6125	25.872	0.00419999985024333
246	6150	25.881	0.00419999985024333
247	6175	25.891	0.00419999985024333
248	6200	25.899	0.00419999985024333
249	6225	25.909	0.00419999985024333
250	6250	25.916	0.00419999985024333
251	6275	25.927	0.00419999985024333
252	6300	25.939	0.00419999985024333
253	6325	25.947	0.00419999985024333
254	6350	25.956	0.00419999985024333
255	6375	25.968	0.00419999985024333
256	6400	25.977	0.00419999985024333
257	6425	25.987	0.00419999985024333
258	6450	25.996	0.00419999985024333
259	6475	26.005	0.00419999985024333
260	6500	26.014	0.00419999985024333
261	6525	26.023	0.00419999985024333
262	6550	26.032	0.00419999985024333
263	6575	26.04	0.00419999985024333
264	6600	26.049	0.00419999985024333
265	6625	26.057	0.00419999985024333
266	6650	26.065	0.00419999985024333
267	6675	26.075	0.00419999985024333
268	6700	26.083	0.00419999985024333
269	6725	26.092	0.00419999985024333
270	6750	26.101	0.00419999985024333
271	6775	26.11	0.00419999985024333
272	6800	26.119	0.00419999985024333
273	6825	26.128	0.00419999985024333
274	6850	26.151	0.00419999985024333
275	6875	26.163	0.004399999976158142
276	6900	26.177	0.004399999976158142
277	6925	26.189	0.004399999976158142
278	6950	26.202	0.004399999976158142
279	6975	26.215	0.004399999976158142
280	7000	26.227	0.004399999976158142
281	7025	26.238	0.004399999976158142
282	7050	26.247	0.004399999976158142
283	7075	26.256	0.004399999976158142
284	7100	26.265	0.004399999976158142
285	7125	26.274	0.004399999976158142
286	7150	26.283	0.004399999976158142
287	7175	26.292	0.004399999976158142
288	7200	26.302	0.004399999976158142
289	7225	26.312	0.004399999976158142
290	7250	26.322	0.004399999976158142
291	7275	26.332	0.004399999976158142
292	7300	26.341	0.004399999976158142
293	7325	26.351	0.004399999976158142
294	7350	26.36	0.004399999976158142
295	7375	26.37	0.004399999976158142
296	7400	26.379	0.004399999976158142
297	7425	26.388	0.004399999976158142
298	7450	26.396	0.004399999976158142
299	7475	26.404	0.004399999976158142
300	7500	26.413	0.004399999976158142
301	7525	26.422	0.004399999976158142
302	7550	26.43	0.004399999976158142
303	7575	26.439	0.004399999976158142
304	7600	26.448	0.004399999976158142
305	7625	26.458	0.004399999976158142
306	7650	26.466	0.004399999976158142
307	7675	26.475	0.004399999976158142
308	7700	26.483	0.004399999976158142
309	7725	26.493	0.004399999976158142
310	7750	26.502	0.004399999976158142
311	7775	26.509	0.004399999976158142
312	7800	26.517	0.004399999976158142
313	7825	26.525	0.004399999976158142
314	7850	26.535	0.004399999976158142
315	7875	26.544	0.004399999976158142
316	7900	26.563	0.004399999976158142
317	7925	26.571	0.004399999976158142
318	7950	26.579	0.004399999976158142
319	7975	26.588	0.004399999976158142
320	8000	26.596	0.004399999976158142
321	8025	26.604	0.004399999976158142
322	8050	26.612	0.004399999976158142
323	8075	26.62	0.004399999976158142
324	8100	26.628	0.004399999976158142
325	8125	26.636	0.004399999976158142
326	8150	26.645	0.004399999976158142
327	8175	26.654	0.004399999976158142
328	8200	26.663	0.004399999976158142
329	8225	26.671	0.004399999976158142
330	8250	26.679	0.004399999976158142
331	8275	26.687	0.004399999976158142
332	8300	26.696	0.004399999976158142
333	8325	26.705	0.004399999976158142
334	8350	26.713	0.004399999976158142
335	8375	26.722	0.004399999976158142
336	8400	26.731	0.004399999976158142
337	8425	26.741	0.004399999976158142
338	8450	26.749	0.004399999976158142
339	8475	26.758	0.004399999976158142
340	8500	26.767	0.004399999976158142
341	8525	26.776	0.004399999976158142
342	8550	26.786	0.004399999976158142
