iteration	evaluations	runtime[s]	Bloques_Colocados-MAX[24][MAX]
1	25	0.0	6
2	50	0.001	6
3	75	0.002	6
4	100	0.002	6
5	125	0.003	6
6	150	0.004	6
7	175	0.005	6
8	200	0.006	6
9	225	0.007	8
10	250	0.007	8
11	275	0.008	8
12	300	0.009	8
13	325	0.01	8
14	350	0.011	8
15	375	0.012	9
16	400	0.012	9
17	425	0.013	9
18	450	0.014	9
19	475	0.015	9
20	500	0.016	9
21	525	0.016	9
22	550	0.017	9
23	575	0.018	9
24	600	0.018	9
25	625	0.019	9
26	650	0.02	9
27	675	0.021	9
28	700	0.022	9
29	725	0.023	9
30	750	0.024	9
31	775	0.024	9
32	800	0.025	9
33	825	0.026	9
34	850	0.027	9
35	875	0.029	9
36	900	0.03	9
37	925	0.031	9
38	950	0.033	9
39	975	0.034	9
40	1000	0.035	9
41	1025	0.036	9
42	1050	0.037	9
43	1075	0.038	9
44	1100	0.038	9
45	1125	0.039	9
46	1150	0.039	9
47	1175	0.04	9
48	1200	0.041	9
49	1225	0.041	9
50	1250	0.042	9
51	1275	0.043	9
52	1300	0.043	9
53	1325	0.044	9
54	1350	0.045	9
55	1375	0.045	9
56	1400	0.046	9
57	1425	0.046	9
58	1450	0.047	9
59	1475	0.047	9
60	1500	0.048	9
61	1525	0.048	9
62	1550	0.048	9
63	1575	0.049	9
64	1600	0.049	9
65	1625	0.05	9
66	1650	0.05	9
67	1675	0.051	9
68	1700	0.051	9
69	1725	0.052	9
70	1750	0.052	9
71	1775	0.053	9
72	1800	0.054	9
73	1825	0.055	9
74	1850	0.055	9
75	1875	0.056	9
76	1900	0.056	9
77	1925	0.059	9
78	1950	0.06	9
79	1975	0.061	9
80	2000	0.062	9
81	2025	0.063	9
82	2050	0.064	9
83	2075	0.065	9
84	2100	0.066	9
85	2125	0.066	9
86	2150	0.067	9
87	2175	0.068	9
88	2200	0.069	9
89	2225	0.07	9
90	2250	0.071	9
91	2275	0.072	9
92	2300	0.072	9
93	2325	0.073	9
94	2350	0.074	9
95	2375	0.075	9
96	2400	0.076	9
97	2425	0.077	9
98	2450	0.077	9
99	2475	0.078	9
100	2500	0.079	9
101	2525	0.08	9
102	2550	0.08	9
103	2575	0.081	9
104	2600	0.082	9
105	2625	0.083	9
106	2650	0.084	9
107	2675	0.085	9
108	2700	0.086	9
109	2725	0.086	9
110	2750	0.087	9
111	2775	0.088	9
112	2800	0.089	9
113	2825	0.09	9
114	2850	0.091	9
115	2875	0.091	9
116	2900	0.093	9
117	2925	0.093	9
118	2950	0.094	9
119	2975	0.095	9
120	3000	0.096	9
121	3025	0.097	9
122	3050	0.097	9
123	3075	0.098	9
124	3100	0.099	9
125	3125	0.1	9
126	3150	0.1	9
127	3175	0.101	9
128	3200	0.102	9
129	3225	0.103	9
130	3250	0.103	9
131	3275	0.104	9
132	3300	0.105	9
133	3325	0.106	9
134	3350	0.106	9
135	3375	0.107	9
136	3400	0.108	9
137	3425	0.109	9
138	3450	0.109	9
139	3475	0.11	9
140	3500	0.111	9
141	3525	0.111	9
142	3550	0.112	9
143	3575	0.112	9
144	3600	0.113	9
145	3625	0.114	9
146	3650	0.115	9
147	3675	0.116	9
148	3700	0.116	9
149	3725	0.117	9
150	3750	0.118	9
151	3775	0.119	9
152	3800	0.119	9
153	3825	0.12	9
154	3850	0.121	9
155	3875	0.122	9
156	3900	0.123	9
157	3925	0.123	9
158	3950	0.124	9
159	3975	0.125	9
160	4000	0.125	9
161	4025	0.126	9
162	4050	0.126	9
163	4075	0.126	9
164	4100	0.127	9
165	4125	0.127	9
166	4150	0.128	9
167	4175	0.128	9
168	4200	0.129	9
169	4225	0.13	9
170	4250	0.13	9
171	4275	0.131	9
172	4300	0.131	9
173	4325	0.131	9
174	4350	0.132	9
175	4375	0.132	9
176	4400	0.133	9
177	4425	0.133	9
178	4450	0.134	9
179	4475	0.134	9
180	4500	0.134	9
181	4525	0.135	9
182	4550	0.135	9
183	4575	0.136	9
184	4600	0.137	9
185	4625	0.137	9
186	4650	0.138	9
187	4675	0.139	9
188	4700	0.14	9
189	4725	0.14	9
190	4750	0.141	9
191	4775	0.142	9
192	4800	0.143	9
193	4825	0.144	9
194	4850	0.145	9
195	4875	0.146	9
196	4900	0.149	9
197	4925	0.15	9
198	4950	0.15	9
199	4975	0.151	9
200	5000	0.16	9
201	5025	0.162	9
202	5050	0.163	9
203	5075	0.164	9
204	5100	0.165	9
205	5125	0.167	9
206	5150	0.168	9
207	5175	0.169	9
208	5200	0.17	9
209	5225	0.171	9
210	5250	0.173	9
211	5275	0.18	9
212	5300	0.181	9
213	5325	0.182	9
214	5350	0.183	9
215	5375	0.183	9
216	5400	0.184	9
217	5425	0.184	9
218	5450	0.185	9
219	5475	0.185	9
220	5500	0.185	9
221	5525	0.186	9
222	5550	0.186	9
223	5575	0.187	9
224	5600	0.187	9
225	5625	0.188	9
226	5650	0.188	9
227	5675	0.189	9
228	5700	0.19	9
229	5725	0.19	9
230	5750	0.191	9
231	5775	0.191	9
232	5800	0.192	9
233	5825	0.192	9
234	5850	0.193	9
235	5875	0.194	9
236	5900	0.194	9
237	5925	0.195	9
238	5950	0.196	9
239	5975	0.197	9
240	6000	0.199	9
241	6025	0.204	9
242	6050	0.205	9
243	6075	0.206	9
244	6100	0.206	9
245	6125	0.207	9
246	6150	0.208	9
247	6175	0.21	9
248	6200	0.211	9
249	6225	0.211	9
250	6250	0.212	9
251	6275	0.212	9
252	6300	0.213	9
253	6325	0.213	9
254	6350	0.214	9
255	6375	0.214	9
256	6400	0.216	9
257	6425	0.217	9
258	6450	0.218	9
259	6475	0.219	9
260	6500	0.22	9
261	6525	0.221	9
262	6550	0.221	9
263	6575	0.222	9
264	6600	0.222	9
265	6625	0.222	9
266	6650	0.223	9
267	6675	0.224	9
268	6700	0.225	9
269	6725	0.225	9
270	6750	0.226	9
271	6775	0.227	9
272	6800	0.227	9
273	6825	0.228	9
274	6850	0.229	9
275	6875	0.23	9
276	6900	0.231	9
277	6925	0.231	9
278	6950	0.232	9
279	6975	0.233	9
280	7000	0.233	9
281	7025	0.234	9
282	7050	0.235	9
283	7075	0.235	9
284	7100	0.236	9
285	7125	0.237	9
286	7150	0.238	9
287	7175	0.238	9
288	7200	0.239	9
289	7225	0.24	9
290	7250	0.24	9
291	7275	0.241	9
292	7300	0.242	9
293	7325	0.242	9
294	7350	0.243	9
295	7375	0.244	9
296	7400	0.245	9
297	7425	0.245	9
298	7450	0.246	9
299	7475	0.246	9
300	7500	0.247	9
301	7525	0.247	9
302	7550	0.248	9
303	7575	0.248	9
304	7600	0.248	9
305	7625	0.249	9
306	7650	0.249	9
307	7675	0.25	9
308	7700	0.25	9
309	7725	0.25	9
310	7750	0.251	9
311	7775	0.251	9
312	7800	0.252	9
313	7825	0.252	9
314	7850	0.255	9
315	7875	0.255	9
316	7900	0.256	9
317	7925	0.256	9
318	7950	0.257	9
319	7975	0.257	9
320	8000	0.258	9
321	8025	0.259	9
322	8050	0.259	9
323	8075	0.26	9
324	8100	0.26	9
325	8125	0.261	9
326	8150	0.262	9
327	8175	0.262	9
328	8200	0.263	9
329	8225	0.263	9
330	8250	0.264	9
331	8275	0.264	9
332	8300	0.265	9
333	8325	0.265	9
334	8350	0.266	9
335	8375	0.266	9
336	8400	0.266	9
