iteration	evaluations	runtime[s]	Porción_Colocados-MAX[MAX]
1	25	0.759	0.012000000104308128
2	50	1.145	0.01600000075995922
3	75	1.484	0.01600000075995922
4	100	1.814	0.01600000075995922
5	125	1.831	0.01600000075995922
6	150	1.849	0.01600000075995922
7	175	1.871	0.01600000075995922
8	200	1.89	0.01600000075995922
9	225	1.904	0.01600000075995922
10	250	1.916	0.01600000075995922
11	275	1.928	0.01600000075995922
12	300	1.94	0.01600000075995922
13	325	1.954	0.01600000075995922
14	350	1.964	0.01600000075995922
15	375	1.974	0.01600000075995922
16	400	1.985	0.01600000075995922
17	425	1.995	0.01600000075995922
18	450	2.037	0.01600000075995922
19	475	2.05	0.01600000075995922
20	500	2.071	0.01600000075995922
21	525	2.081	0.01600000075995922
22	550	2.091	0.017999999225139618
23	575	2.1	0.017999999225139618
24	600	2.11	0.017999999225139618
25	625	2.119	0.017999999225139618
26	650	2.128	0.017999999225139618
27	675	2.138	0.017999999225139618
28	700	2.148	0.017999999225139618
29	725	2.158	0.017999999225139618
30	750	2.165	0.017999999225139618
31	775	2.172	0.017999999225139618
32	800	2.179	0.017999999225139618
33	825	2.186	0.017999999225139618
34	850	2.194	0.017999999225139618
35	875	2.2	0.017999999225139618
36	900	2.207	0.017999999225139618
37	925	2.213	0.017999999225139618
38	950	2.22	0.017999999225139618
39	975	2.227	0.017999999225139618
40	1000	2.234	0.017999999225139618
41	1025	2.241	0.017999999225139618
42	1050	2.248	0.017999999225139618
43	1075	2.254	0.017999999225139618
44	1100	2.26	0.017999999225139618
45	1125	2.267	0.017999999225139618
46	1150	2.272	0.017999999225139618
47	1175	2.278	0.017999999225139618
48	1200	2.283	0.017999999225139618
49	1225	2.289	0.017999999225139618
50	1250	2.294	0.017999999225139618
51	1275	2.3	0.017999999225139618
52	1300	2.306	0.017999999225139618
53	1325	2.312	0.017999999225139618
54	1350	2.317	0.017999999225139618
55	1375	2.322	0.017999999225139618
56	1400	2.329	0.017999999225139618
57	1425	2.334	0.01899999938905239
58	1450	2.34	0.01899999938905239
59	1475	2.352	0.01899999938905239
60	1500	2.358	0.01899999938905239
61	1525	2.363	0.01899999938905239
62	1550	2.369	0.01899999938905239
63	1575	2.374	0.01899999938905239
64	1600	2.38	0.01899999938905239
65	1625	2.385	0.01899999938905239
66	1650	2.391	0.01899999938905239
67	1675	2.398	0.01899999938905239
68	1700	2.403	0.01899999938905239
69	1725	2.409	0.01899999938905239
70	1750	2.415	0.01899999938905239
71	1775	2.421	0.01899999938905239
72	1800	2.428	0.01899999938905239
73	1825	2.434	0.01899999938905239
74	1850	2.44	0.01899999938905239
75	1875	2.446	0.01899999938905239
76	1900	2.453	0.01899999938905239
77	1925	2.459	0.01899999938905239
78	1950	2.465	0.01899999938905239
79	1975	2.472	0.01899999938905239
80	2000	2.479	0.01899999938905239
81	2025	2.484	0.01899999938905239
82	2050	2.49	0.01899999938905239
83	2075	2.495	0.01899999938905239
84	2100	2.5	0.01899999938905239
85	2125	2.505	0.01899999938905239
86	2150	2.511	0.01899999938905239
87	2175	2.516	0.01899999938905239
88	2200	2.521	0.019999999552965164
89	2225	2.527	0.019999999552965164
90	2250	2.533	0.019999999552965164
91	2275	2.538	0.019999999552965164
92	2300	2.55	0.019999999552965164
93	2325	2.556	0.019999999552965164
94	2350	2.58	0.019999999552965164
95	2375	2.586	0.019999999552965164
96	2400	2.593	0.019999999552965164
97	2425	2.599	0.019999999552965164
98	2450	2.605	0.019999999552965164
99	2475	2.612	0.019999999552965164
100	2500	2.618	0.019999999552965164
101	2525	2.624	0.019999999552965164
102	2550	2.629	0.019999999552965164
103	2575	2.633	0.019999999552965164
104	2600	2.636	0.019999999552965164
105	2625	2.64	0.019999999552965164
106	2650	2.646	0.019999999552965164
107	2675	2.651	0.019999999552965164
108	2700	2.657	0.019999999552965164
109	2725	2.664	0.019999999552965164
110	2750	2.67	0.019999999552965164
111	2775	2.677	0.019999999552965164
112	2800	2.681	0.019999999552965164
113	2825	2.687	0.019999999552965164
114	2850	2.693	0.019999999552965164
115	2875	2.698	0.019999999552965164
116	2900	2.703	0.020999999716877937
117	2925	2.709	0.020999999716877937
118	2950	2.715	0.020999999716877937
119	2975	2.719	0.020999999716877937
120	3000	2.724	0.020999999716877937
121	3025	2.73	0.020999999716877937
122	3050	2.735	0.020999999716877937
