iteration	evaluations	runtime[s]	Porción_Colocados-MAX[MAX]
1	25	0.113	0.0026000000070780516
2	50	0.223	0.00279999990016222
3	75	0.284	0.003000000026077032
4	100	0.328	0.003000000026077032
5	125	0.378	0.003000000026077032
6	150	0.418	0.003000000026077032
7	175	0.476	0.003000000026077032
8	200	0.509	0.003000000026077032
9	225	0.55	0.003000000026077032
10	250	0.577	0.003000000026077032
11	275	0.588	0.003000000026077032
12	300	0.61	0.003000000026077032
13	325	0.628	0.003000000026077032
14	350	0.66	0.003000000026077032
15	375	0.683	0.003000000026077032
16	400	0.708	0.003000000026077032
17	425	0.728	0.003000000026077032
18	450	0.742	0.003000000026077032
19	475	0.756	0.003000000026077032
20	500	0.773	0.003000000026077032
21	525	0.788	0.003000000026077032
22	550	0.805	0.003000000026077032
23	575	0.823	0.003000000026077032
24	600	0.835	0.003000000026077032
25	625	0.853	0.003000000026077032
26	650	0.867	0.003000000026077032
27	675	0.88	0.003000000026077032
28	700	0.895	0.003000000026077032
29	725	0.907	0.003000000026077032
30	750	0.921	0.003000000026077032
31	775	0.933	0.003000000026077032
32	800	0.944	0.003000000026077032
33	825	1.011	0.003000000026077032
34	850	1.021	0.003000000026077032
35	875	1.029	0.003000000026077032
36	900	1.037	0.003000000026077032
37	925	1.044	0.003000000026077032
38	950	1.051	0.003000000026077032
39	975	1.064	0.003000000026077032
40	1000	1.073	0.003000000026077032
41	1025	1.081	0.003000000026077032
42	1050	1.088	0.003000000026077032
43	1075	1.097	0.003000000026077032
44	1100	1.108	0.003000000026077032
45	1125	1.116	0.003000000026077032
46	1150	1.123	0.003000000026077032
47	1175	1.133	0.003000000026077032
48	1200	1.14	0.003000000026077032
49	1225	1.168	0.003000000026077032
50	1250	1.176	0.003000000026077032
51	1275	1.185	0.003000000026077032
52	1300	1.198	0.003000000026077032
53	1325	1.21	0.003000000026077032
54	1350	1.217	0.003000000026077032
55	1375	1.225	0.003000000026077032
56	1400	1.233	0.003000000026077032
57	1425	1.24	0.003000000026077032
58	1450	1.247	0.003000000026077032
59	1475	1.255	0.003000000026077032
60	1500	1.262	0.003000000026077032
61	1525	1.27	0.003000000026077032
62	1550	1.304	0.003000000026077032
63	1575	1.314	0.003000000026077032
64	1600	1.325	0.003000000026077032
65	1625	1.335	0.003000000026077032
66	1650	1.347	0.003000000026077032
67	1675	1.357	0.003000000026077032
68	1700	1.367	0.003000000026077032
