iteration	evaluations	runtime[s]	Porción_Colocados-MAX[MAX]
1	35	0.003	0.00800000037997961
2	70	0.009	0.008999999612569809
3	105	0.013	0.008999999612569809
4	140	0.017	0.008999999612569809
5	175	0.022	0.008999999612569809
6	210	0.026	0.008999999612569809
7	245	0.03	0.008999999612569809
8	280	0.034	0.008999999612569809
9	315	0.038	0.008999999612569809
10	350	0.043	0.008999999612569809
11	385	0.05	0.008999999612569809
12	420	0.056	0.008999999612569809
13	455	0.061	0.008999999612569809
14	490	0.066	0.008999999612569809
15	525	0.069	0.008999999612569809
16	560	0.072	0.009999999776482582
17	595	0.075	0.009999999776482582
18	630	0.079	0.009999999776482582
19	665	0.082	0.009999999776482582
20	700	0.086	0.009999999776482582
21	735	0.092	0.009999999776482582
22	770	0.095	0.009999999776482582
23	805	0.1	0.009999999776482582
24	840	0.103	0.009999999776482582
25	875	0.105	0.009999999776482582
26	910	0.108	0.009999999776482582
27	945	0.112	0.009999999776482582
28	980	0.115	0.009999999776482582
29	1015	0.118	0.009999999776482582
30	1050	0.12	0.009999999776482582
31	1085	0.123	0.009999999776482582
32	1120	0.126	0.009999999776482582
33	1155	0.13	0.009999999776482582
34	1190	0.133	0.009999999776482582
35	1225	0.136	0.009999999776482582
36	1260	0.138	0.009999999776482582
37	1295	0.141	0.009999999776482582
38	1330	0.143	0.009999999776482582
39	1365	0.146	0.009999999776482582
40	1400	0.149	0.009999999776482582
41	1435	0.151	0.009999999776482582
42	1470	0.154	0.009999999776482582
43	1505	0.156	0.009999999776482582
44	1540	0.159	0.009999999776482582
45	1575	0.161	0.009999999776482582
46	1610	0.164	0.009999999776482582
47	1645	0.166	0.009999999776482582
48	1680	0.169	0.009999999776482582
49	1715	0.172	0.009999999776482582
50	1750	0.176	0.009999999776482582
51	1785	0.181	0.010999999940395355
52	1820	0.183	0.010999999940395355
53	1855	0.187	0.010999999940395355
54	1890	0.191	0.010999999940395355
55	1925	0.196	0.010999999940395355
56	1960	0.2	0.010999999940395355
57	1995	0.205	0.010999999940395355
58	2030	0.209	0.010999999940395355
59	2065	0.212	0.010999999940395355
60	2100	0.216	0.010999999940395355
61	2135	0.218	0.010999999940395355
62	2170	0.221	0.010999999940395355
63	2205	0.224	0.010999999940395355
64	2240	0.227	0.010999999940395355
65	2275	0.23	0.010999999940395355
66	2310	0.232	0.010999999940395355
67	2345	0.235	0.010999999940395355
68	2380	0.238	0.010999999940395355
69	2415	0.241	0.010999999940395355
70	2450	0.243	0.010999999940395355
71	2485	0.246	0.010999999940395355
72	2520	0.249	0.010999999940395355
73	2555	0.251	0.010999999940395355
74	2590	0.254	0.010999999940395355
75	2625	0.257	0.010999999940395355
76	2660	0.261	0.010999999940395355
77	2695	0.265	0.010999999940395355
78	2730	0.27	0.012000000104308128
79	2765	0.274	0.012000000104308128
80	2800	0.278	0.012000000104308128
81	2835	0.282	0.012000000104308128
82	2870	0.286	0.012000000104308128
83	2905	0.29	0.012000000104308128
84	2940	0.294	0.012000000104308128
85	2975	0.299	0.012000000104308128
86	3010	0.303	0.012000000104308128
87	3045	0.318	0.012000000104308128
88	3080	0.323	0.012000000104308128
89	3115	0.328	0.012000000104308128
90	3150	0.332	0.012000000104308128
91	3185	0.337	0.012000000104308128
92	3220	0.341	0.012000000104308128
93	3255	0.345	0.012000000104308128
94	3290	0.349	0.012000000104308128
95	3325	0.353	0.012000000104308128
96	3360	0.357	0.012000000104308128
97	3395	0.361	0.012000000104308128
98	3430	0.365	0.012000000104308128
99	3465	0.37	0.012000000104308128
100	3500	0.374	0.012000000104308128
101	3535	0.38	0.012000000104308128
102	3570	0.384	0.012000000104308128
103	3605	0.389	0.012000000104308128
104	3640	0.393	0.012000000104308128
105	3675	0.397	0.012000000104308128
106	3710	0.401	0.012000000104308128
107	3745	0.406	0.012000000104308128
108	3780	0.41	0.012000000104308128
109	3815	0.414	0.012000000104308128
110	3850	0.42	0.012000000104308128
111	3885	0.424	0.012000000104308128
112	3920	0.428	0.012000000104308128
113	3955	0.432	0.012000000104308128
114	3990	0.436	0.012000000104308128
115	4025	0.441	0.012000000104308128
116	4060	0.445	0.012000000104308128
117	4095	0.449	0.012000000104308128
118	4130	0.454	0.012000000104308128
119	4165	0.46	0.012000000104308128
120	4200	0.464	0.012000000104308128
121	4235	0.468	0.012000000104308128
122	4270	0.473	0.012000000104308128
123	4305	0.477	0.012000000104308128
124	4340	0.482	0.012000000104308128
125	4375	0.486	0.012000000104308128
126	4410	0.491	0.012000000104308128
127	4445	0.495	0.012000000104308128
128	4480	0.502	0.012000000104308128
129	4515	0.506	0.012000000104308128
130	4550	0.511	0.012000000104308128
131	4585	0.515	0.012000000104308128
132	4620	0.52	0.012000000104308128
133	4655	0.524	0.012000000104308128
134	4690	0.528	0.012000000104308128
