iteration	evaluations	runtime[s]	Porción_Colocados-MAX[MAX]
1	25	0.026	0.007000000216066837
2	50	0.066	0.00800000037997961
3	75	0.089	0.00800000037997961
4	100	0.109	0.00800000037997961
5	125	0.127	0.008999999612569809
6	150	0.134	0.009999999776482582
7	175	0.141	0.009999999776482582
8	200	0.184	0.009999999776482582
9	225	0.191	0.009999999776482582
10	250	0.221	0.009999999776482582
11	275	0.225	0.009999999776482582
12	300	0.239	0.009999999776482582
13	325	0.267	0.009999999776482582
14	350	0.285	0.009999999776482582
15	375	0.332	0.009999999776482582
16	400	0.367	0.009999999776482582
17	425	0.396	0.009999999776482582
18	450	0.439	0.009999999776482582
19	475	0.45	0.009999999776482582
20	500	0.475	0.009999999776482582
21	525	0.478	0.009999999776482582
22	550	0.481	0.009999999776482582
23	575	0.486	0.009999999776482582
24	600	0.489	0.009999999776482582
25	625	0.492	0.012000000104308128
26	650	0.507	0.012000000104308128
27	675	0.51	0.012000000104308128
28	700	0.514	0.012000000104308128
29	725	0.517	0.012000000104308128
30	750	0.536	0.012000000104308128
31	775	0.54	0.012000000104308128
32	800	0.544	0.012000000104308128
33	825	0.547	0.012000000104308128
34	850	0.589	0.012000000104308128
35	875	0.59	0.012000000104308128
36	900	0.592	0.012000000104308128
37	925	0.595	0.012000000104308128
38	950	0.597	0.012000000104308128
39	975	0.6	0.012000000104308128
40	1000	0.605	0.012000000104308128
41	1025	0.974	0.012000000104308128
42	1050	1.309	0.012000000104308128
43	1075	1.522	0.012000000104308128
44	1100	1.687	0.012000000104308128
45	1125	1.81	0.012000000104308128
46	1150	1.925	0.012000000104308128
47	1175	2.042	0.012000000104308128
48	1200	2.2	0.012000000104308128
49	1225	2.374	0.012000000104308128
50	1250	2.532	0.012000000104308128
51	1275	2.672	0.012000000104308128
52	1300	2.782	0.012000000104308128
53	1325	2.896	0.012000000104308128
54	1350	3.002	0.012000000104308128
55	1375	3.112	0.012000000104308128
56	1400	3.224	0.012000000104308128
57	1425	3.388	0.012000000104308128
58	1450	3.649	0.012000000104308128
59	1475	3.813	0.012000000104308128
60	1500	3.961	0.012000000104308128
61	1525	4.114	0.012000000104308128
62	1550	4.277	0.012000000104308128
63	1575	4.474	0.012000000104308128
64	1600	4.68	0.012000000104308128
65	1625	4.856	0.012000000104308128
66	1650	5.009	0.012000000104308128
67	1675	5.128	0.012000000104308128
68	1700	5.27	0.012000000104308128
69	1725	5.419	0.012000000104308128
70	1750	5.564	0.012000000104308128
71	1775	5.712	0.012000000104308128
72	1800	5.908	0.012000000104308128
73	1825	6.069	0.012000000104308128
74	1850	6.224	0.012000000104308128
75	1875	6.323	0.012000000104308128
76	1900	6.454	0.012000000104308128
77	1925	6.589	0.012000000104308128
78	1950	6.721	0.012000000104308128
79	1975	6.841	0.012000000104308128
80	2000	6.956	0.012000000104308128
81	2025	7.05	0.012000000104308128
82	2050	7.139	0.012000000104308128
83	2075	7.234	0.012000000104308128
84	2100	7.408	0.012000000104308128
85	2125	7.548	0.012000000104308128
86	2150	7.645	0.012000000104308128
87	2175	7.76	0.012000000104308128
88	2200	7.853	0.012000000104308128
89	2225	7.989	0.012000000104308128
90	2250	8.127	0.012000000104308128
91	2275	8.261	0.012000000104308128
92	2300	8.4	0.012000000104308128
93	2325	8.549	0.012000000104308128
94	2350	8.689	0.012000000104308128
95	2375	8.792	0.012000000104308128
96	2400	8.928	0.012000000104308128
97	2425	9.072	0.012000000104308128
98	2450	9.211	0.012000000104308128
99	2475	9.353	0.012000000104308128
100	2500	9.478	0.012000000104308128
101	2525	9.607	0.012000000104308128
102	2550	9.708	0.012000000104308128
103	2575	9.915	0.012000000104308128
104	2600	10.075	0.012000000104308128
105	2625	10.231	0.012000000104308128
106	2650	10.334	0.012000000104308128
107	2675	10.431	0.012000000104308128
108	2700	10.522	0.012000000104308128
109	2725	10.619	0.012000000104308128
110	2750	10.713	0.012000000104308128
111	2775	10.809	0.012000000104308128
112	2800	10.903	0.012000000104308128
113	2825	10.991	0.012000000104308128
114	2850	11.086	0.012000000104308128
115	2875	11.176	0.012000000104308128
116	2900	11.264	0.012000000104308128
117	2925	11.393	0.012000000104308128
118	2950	11.497	0.012000000104308128
119	2975	11.593	0.012000000104308128
120	3000	11.753	0.012000000104308128
121	3025	11.889	0.012000000104308128
122	3050	12.02	0.012000000104308128
123	3075	12.135	0.012000000104308128
124	3100	12.221	0.012000000104308128
125	3125	12.304	0.012000000104308128
126	3150	12.391	0.012000000104308128
127	3175	12.476	0.012000000104308128
128	3200	12.608	0.012000000104308128
129	3225	12.74	0.012000000104308128
130	3250	12.868	0.012000000104308128
131	3275	12.951	0.012000000104308128
132	3300	13.035	0.012000000104308128
133	3325	13.123	0.012000000104308128
134	3350	13.218	0.012000000104308128
135	3375	13.315	0.012000000104308128
136	3400	13.413	0.012000000104308128
137	3425	13.502	0.012000000104308128
138	3450	13.638	0.012000000104308128
139	3475	13.722	0.012000000104308128
140	3500	13.823	0.012000000104308128
141	3525	13.933	0.012000000104308128
142	3550	14.021	0.012000000104308128
143	3575	14.125	0.012000000104308128
144	3600	14.217	0.012000000104308128
145	3625	14.306	0.012000000104308128
146	3650	14.397	0.012000000104308128
147	3675	14.489	0.012000000104308128
148	3700	14.588	0.012000000104308128
149	3725	14.678	0.012000000104308128
150	3750	14.771	0.012000000104308128
151	3775	14.861	0.012000000104308128
152	3800	14.951	0.012000000104308128
153	3825	15.116	0.012000000104308128
154	3850	15.249	0.012000000104308128
155	3875	15.397	0.012000000104308128
156	3900	15.487	0.012000000104308128
157	3925	15.565	0.012000000104308128
158	3950	15.649	0.012000000104308128
159	3975	15.747	0.012000000104308128
160	4000	15.827	0.012000000104308128
161	4025	15.921	0.012000000104308128
162	4050	16.004	0.012000000104308128
163	4075	16.089	0.012000000104308128
164	4100	16.168	0.012000000104308128
165	4125	16.256	0.012000000104308128
166	4150	16.348	0.012000000104308128
167	4175	16.429	0.012000000104308128
168	4200	16.52	0.012000000104308128
169	4225	16.64	0.012000000104308128
170	4250	16.76	0.012000000104308128
171	4275	16.851	0.012000000104308128
172	4300	16.931	0.012000000104308128
173	4325	17.011	0.012000000104308128
174	4350	17.177	0.012000000104308128
175	4375	17.274	0.012000000104308128
176	4400	17.358	0.012000000104308128
177	4425	17.476	0.012000000104308128
178	4450	17.598	0.012000000104308128
179	4475	17.725	0.012000000104308128
180	4500	17.848	0.012000000104308128
181	4525	17.967	0.012000000104308128
182	4550	18.111	0.012000000104308128
183	4575	18.282	0.012000000104308128
184	4600	18.439	0.012000000104308128
185	4625	18.554	0.012000000104308128
186	4650	18.674	0.012000000104308128
187	4675	18.797	0.012000000104308128
188	4700	18.923	0.012000000104308128
189	4725	19.042	0.012000000104308128
190	4750	19.144	0.012000000104308128
191	4775	19.234	0.012000000104308128
192	4800	19.309	0.012000000104308128
193	4825	19.452	0.012000000104308128
194	4850	19.589	0.012000000104308128
195	4875	19.685	0.012000000104308128
196	4900	19.766	0.012000000104308128
197	4925	19.844	0.012000000104308128
198	4950	19.949	0.012000000104308128
199	4975	20.062	0.012000000104308128
200	5000	20.184	0.012000000104308128
201	5025	20.292	0.012000000104308128
202	5050	20.401	0.012000000104308128
203	5075	20.512	0.012000000104308128
204	5100	20.626	0.012000000104308128
205	5125	20.743	0.012000000104308128
206	5150	20.864	0.012000000104308128
207	5175	20.98	0.012000000104308128
208	5200	21.091	0.012000000104308128
209	5225	21.208	0.012000000104308128
