iteration	evaluations	runtime[s]	Bloques_Colocados-MAX[256][MAX]
1	25	0.035	8
2	50	0.045	9
3	75	0.067	12
4	100	0.072	12
5	125	0.084	12
6	150	0.098	12
7	175	0.11	12
8	200	0.121	12
9	225	0.128	12
10	250	0.135	12
11	275	0.142	12
12	300	0.149	12
13	325	0.156	12
14	350	0.163	12
15	375	0.169	12
16	400	0.181	12
17	425	0.185	12
18	450	0.192	12
19	475	0.197	12
20	500	0.202	12
21	525	0.207	12
22	550	0.212	12
23	575	0.216	12
24	600	0.219	12
25	625	0.223	12
26	650	0.227	12
27	675	0.231	12
28	700	0.235	12
29	725	0.239	12
30	750	0.244	12
31	775	0.248	12
32	800	0.256	12
33	825	0.261	12
34	850	0.266	12
35	875	0.272	12
36	900	0.276	12
37	925	0.28	13
38	950	0.283	13
39	975	0.286	13
40	1000	0.29	13
41	1025	0.293	13
42	1050	0.297	13
43	1075	0.3	13
44	1100	0.304	13
45	1125	0.308	13
46	1150	0.312	13
47	1175	0.316	13
48	1200	0.32	13
49	1225	0.324	13
50	1250	0.33	13
51	1275	0.334	13
52	1300	0.34	13
53	1325	0.343	13
54	1350	0.345	13
55	1375	0.348	13
56	1400	0.351	13
57	1425	0.353	13
58	1450	0.355	13
59	1475	0.358	13
60	1500	0.36	13
61	1525	0.362	13
62	1550	0.364	13
63	1575	0.367	13
64	1600	0.37	13
65	1625	0.373	13
66	1650	0.375	13
67	1675	0.377	13
68	1700	0.379	13
69	1725	0.382	13
70	1750	0.385	13
71	1775	0.387	13
72	1800	0.393	13
73	1825	0.396	13
74	1850	0.4	13
75	1875	0.403	13
76	1900	0.407	13
77	1925	0.41	13
78	1950	0.413	13
79	1975	0.416	13
80	2000	0.417	13
81	2025	0.42	13
82	2050	0.422	13
83	2075	0.425	13
84	2100	0.427	13
85	2125	0.429	13
86	2150	0.431	13
87	2175	0.433	13
88	2200	0.435	13
89	2225	0.437	13
90	2250	0.44	13
91	2275	0.442	13
92	2300	0.444	13
93	2325	0.446	13
94	2350	0.449	13
95	2375	0.451	13
